id,date,subject,counterbalance,condition,session,trial,side_dropped_stone,got_two_rewards,platforms_stabilized,comment
304,16.05.2022,umugenzi,controlfirst,control,2,8,left,yes,one,
305,17.05.2022,umugenzi,controlfirst,test,3,1,right,yes,one,
306,17.05.2022,umugenzi,controlfirst,test,3,2,left,no,one,
307,17.05.2022,umugenzi,controlfirst,test,3,3,left,no,one,
308,17.05.2022,umugenzi,controlfirst,test,3,4,left,no,one,
309,17.05.2022,umugenzi,controlfirst,test,3,5,right,yes,two,
310,17.05.2022,umugenzi,controlfirst,test,3,6,left,yes,two,
311,17.05.2022,umugenzi,controlfirst,test,3,7,left,yes,two,"umugenzi is really interesting here, uses foot instead of hand because hand is used to stabilize (again shows that Suddendorf study does not make sense)"
312,17.05.2022,umugenzi,controlfirst,test,3,8,left,yes,two,"umugenzi is really interesting here, uses foot instead of hand because hand is used to stabilize (again shows that Suddendorf study does not make sense)"
313,18.05.2022,umugenzi,controlfirst,test,4,1,right,yes,two,
314,18.05.2022,umugenzi,controlfirst,test,4,2,left,yes,two,
315,18.05.2022,umugenzi,controlfirst,test,4,3,left,yes,two,
316,18.05.2022,umugenzi,controlfirst,test,4,4,right,yes,two,
317,18.05.2022,umugenzi,controlfirst,test,4,5,left,yes,two,
318,18.05.2022,umugenzi,controlfirst,test,4,6,left,yes,two,
319,18.05.2022,umugenzi,controlfirst,test,4,7,left,yes,two,
320,18.05.2022,umugenzi,controlfirst,test,4,8,left,yes,two,
321,19.05.2022,rambo,testfirst,test,1,1,left,no,one,good video
322,19.05.2022,rambo,testfirst,test,1,2,left,no,one,good video
323,19.05.2022,rambo,testfirst,test,1,3,left,yes,two,good video
324,19.05.2022,rambo,testfirst,test,1,4,right,yes,two,good video
325,19.05.2022,rambo,testfirst,test,1,5,left,yes,two,good video
326,19.05.2022,rambo,testfirst,test,1,6,left,yes,two,good video
327,19.05.2022,rambo,testfirst,test,1,7,left,yes,two,good video
328,19.05.2022,rambo,testfirst,test,1,8,right,yes,two,good video
329,21.05.2022,rambo,testfirst,test,2,1,right,yes,two,check if body spinning is visible in gopro
330,21.05.2022,rambo,testfirst,test,2,2,left,yes,two,check if body spinning is visible in gopro
331,21.05.2022,rambo,testfirst,test,2,3,right,yes,two,check if body spinning is visible in gopro
332,21.05.2022,rambo,testfirst,test,2,4,right,yes,two,check if body spinning is visible in gopro
333,21.05.2022,rambo,testfirst,test,2,5,right,yes,two,check if body spinning is visible in gopro
334,21.05.2022,rambo,testfirst,test,2,6,left,yes,two,check if body spinning is visible in gopro
335,21.05.2022,rambo,testfirst,test,2,7,left,no,one,check if body spinning is visible in gopro
336,21.05.2022,rambo,testfirst,test,2,8,left,yes,two,check if body spinning is visible in gopro
337,22.05.2022,rambo,testfirst,control,3,1,right,yes,two,
338,22.05.2022,rambo,testfirst,control,3,2,right,yes,two,
339,22.05.2022,rambo,testfirst,control,3,3,right,yes,two,
340,22.05.2022,rambo,testfirst,control,3,4,right,yes,two,
341,22.05.2022,rambo,testfirst,control,3,5,right,yes,two,
342,22.05.2022,rambo,testfirst,control,3,6,right,yes,one,
343,22.05.2022,rambo,testfirst,control,3,7,right,yes,one,
344,22.05.2022,rambo,testfirst,control,3,8,right,yes,two,
345,23.05.2022,rambo,testfirst,control,4,1,left,yes,one,
346,23.05.2022,rambo,testfirst,control,4,2,left,yes,two,
347,23.05.2022,rambo,testfirst,control,4,3,left,yes,two,
348,23.05.2022,rambo,testfirst,control,4,4,left,yes,two,
349,23.05.2022,rambo,testfirst,control,4,5,left,yes,two,
350,23.05.2022,rambo,testfirst,control,4,6,left,yes,two,
351,23.05.2022,rambo,testfirst,control,4,7,left,yes,two,
352,23.05.2022,rambo,testfirst,control,4,8,left,no,one,
353,20.05.2022,kalema,controlfirst,control,1,1,right,yes,one,
354,20.05.2022,kalema,controlfirst,control,1,2,right,yes,one,
355,20.05.2022,kalema,controlfirst,control,1,3,right,yes,one,
356,20.05.2022,kalema,controlfirst,control,1,4,right,yes,one,
357,20.05.2022,kalema,controlfirst,control,1,5,right,yes,one,
358,20.05.2022,kalema,controlfirst,control,1,6,right,yes,one,
359,20.05.2022,kalema,controlfirst,control,1,7,right,yes,one,
360,20.05.2022,kalema,controlfirst,control,1,8,right,yes,one,
361,21.05.2022,kalema,controlfirst,control,2,1,left,yes,two,
362,21.05.2022,kalema,controlfirst,control,2,2,left,yes,one,
363,21.05.2022,kalema,controlfirst,control,2,3,left,yes,one,
364,21.05.2022,kalema,controlfirst,control,2,4,left,yes,one,
365,21.05.2022,kalema,controlfirst,control,2,5,left,yes,two,
366,21.05.2022,kalema,controlfirst,control,2,6,left,yes,one,
367,21.05.2022,kalema,controlfirst,control,2,7,left,no,one,
368,21.05.2022,kalema,controlfirst,control,2,8,left,yes,one,
369,22.05.2022,kalema,controlfirst,test,3,1,left,no,one,
370,22.05.2022,kalema,controlfirst,test,3,2,left,yes,one,
371,22.05.2022,kalema,controlfirst,test,3,3,right,no,one,
372,22.05.2022,kalema,controlfirst,test,3,4,right,yes,two,
373,22.05.2022,kalema,controlfirst,test,3,5,right,yes,one,
374,22.05.2022,kalema,controlfirst,test,3,6,left,yes,one,
375,22.05.2022,kalema,controlfirst,test,3,7,right,yes,two,
376,22.05.2022,kalema,controlfirst,test,3,8,right,no,one,
377,23.05.2022,kalema,controlfirst,test,4,1,left,no,one,
378,23.05.2022,kalema,controlfirst,test,4,2,left,no,one,
379,23.05.2022,kalema,controlfirst,test,4,3,right,no,one,
380,23.05.2022,kalema,controlfirst,test,4,4,left,yes,one,
381,23.05.2022,kalema,controlfirst,test,4,5,right,no,one,
382,23.05.2022,kalema,controlfirst,test,4,6,left,yes,two,
383,23.05.2022,kalema,controlfirst,test,4,7,right,no,one,
384,23.05.2022,kalema,controlfirst,test,4,8,right,no,one,
385,21.05.2022,nakuu,testfirst,test,1,1,right,yes,two,good gopro video
386,21.05.2022,nakuu,testfirst,test,1,2,right,yes,two,good gopro video
387,21.05.2022,nakuu,testfirst,test,1,3,left,yes,two,good gopro video
388,21.05.2022,nakuu,testfirst,test,1,4,right,yes,two,good gopro video
389,21.05.2022,nakuu,testfirst,test,1,5,left,yes,two,good gopro video
390,21.05.2022,nakuu,testfirst,test,1,6,right,yes,two,good gopro video
391,21.05.2022,nakuu,testfirst,test,1,7,right,yes,two,good gopro video
392,21.05.2022,nakuu,testfirst,test,1,8,right,yes,two,good gopro video
393,22.05.2022,nakuu,testfirst,test,2,1,right,yes,two,
394,22.05.2022,nakuu,testfirst,test,2,2,left,yes,two,
395,22.05.2022,nakuu,testfirst,test,2,3,right,yes,two,
396,22.05.2022,nakuu,testfirst,test,2,4,right,yes,two,
397,22.05.2022,nakuu,testfirst,test,2,5,left,yes,two,
398,22.05.2022,nakuu,testfirst,test,2,6,left,yes,two,
399,22.05.2022,nakuu,testfirst,test,2,7,left,yes,two,
400,22.05.2022,nakuu,testfirst,test,2,8,right,yes,two,
401,23.05.2022,nakuu,testfirst,control,3,1,left,yes,one,
402,23.05.2022,nakuu,testfirst,control,3,2,left,yes,one,
403,23.05.2022,nakuu,testfirst,control,3,3,left,yes,two,
